head,type,tail
decapodiform,subclass of,buccal mass
octopodiform,subclass of,buccal mass
in vivo,subclass of,functional analyses
mRNA vaccine,facet of,COVID 19 pandemic
non specific,subclass of,anticancer agent
lipid chimera,subclass of,anticancer agent
allergic reactions,has cause,Irrational use of fluoroquinolones
Molecularly imprinted polymer,subclass of,molecular imprinting technology
"3 Bromo 4,5 dihydroisoxazole",instance of,moiety
extracellular signal regulated kinase,subclass of,receptor tyrosine kinase
P66Shc,subclass of,ShcA isoforms
leukemia inhibitory factor,subclass of,pharmacologic inhibitor
STAT3(S727),part of,Signal transducer and activator of transcription
cellular Potts model,instance of,cell based models
mean field approaches,subclass of,ECM
bead spring model,subclass of,ECM fiber networks
fiber network,has part,contractile cell
network crosslinking,subclass of,contractile cell forces
alpha diversity change,subclass of,Compositional reorganization
magnitude,facet of,rates of change
linear directional change,opposite of,non directional change
non directional change,opposite of,linear directional change
threshold like behaviour,subclass of,Compositional reorganization
Long noncoding RNA,subclass of,non (protein) coding RNA
pathological mechanisms of CVDs,facet of,CVDs
blastic phase,subclass of,Myeloproliferative neoplasm
MPN BP,drug used for treatment,azacytidine
MPN BP,drug used for treatment,venetoclax
azacytidine,medical condition treated,MPN BP
venetoclax,medical condition treated,MPN BP
Median age,said to be the same as,76 years
76 years,said to be the same as,Median age
median overall survival,instance of,95% CI
SKS10,manufacturer,SKS
M1 macrophage,has part,vascular endothelial growth factor
D4M melanoma,has cause,VEGFA/BRAF targeting
VEGFA/BRAF targeting,has effect,D4M melanoma
micro RNA,subclass of,noncoding RNA
circular RNA,subclass of,noncoding RNA
long noncoding RNA,subclass of,noncoding RNA
oxidative pathway,part of,alcohol metabolism
alcohol metabolism,has part,oxidative pathway
CRC,has cause,ALDH2
CVT 10216,has part,daidzein
daidzein,part of,CVT 10216
twist,part of,mRNA
MMP7,part of,mRNA
CD44,part of,mRNA
c Myc,part of,mRNA
SOX2,part of,mRNA
OCT 4,part of,mRNA
Gene Set Enrichment Analysis,part of,The Cancer Genome Atlas
The Cancer Genome Atlas,has part,Gene Set Enrichment Analysis
pGSK3β,has part,serine 9
serine 9,part of,pGSK3β
Pyridoxal 5' phosphate,instance of,vitamin B6
chromosome aberrations,has cause,1C metabolism
1C metabolism,has effect,chromosome aberrations
Drosophila,instance of,model system
SHMT,subclass of,RNAi
TS depletion,has effect,chromosome damage
PLP depletion,has effect,chromosome damage
PLP proficient,opposite of,PLP deficient
arXiv,founded by,Paul Ginsparg
BioRxiv,instance of,preprint servers
medRxiv,instance of,preprint servers
flagellar protein,subclass of,non histone protein
RNA binding protein,subclass of,non histone protein
neoadjuvant vinblastine prednisolone,medical condition treated,MCTs
post operative,subclass of,follow up
St. Andrew's Cathedral,located in the administrative territorial entity,London
MARG,subclass of,surgical margins
MORB,subclass of,surgical margins
NA VP,medical condition treated,indication for undergoing surgery
undergoing surgery,medical condition treated,NA VP
MARG,instance of,MORB
wound dehiscence,subclass of,dehiscence
Complete excision,subclass of,excision
completeness of excision,has part,mitotic count
NA VP,use,pre operative setting
completeness of excision,facet of,clinical response
ascertainment bias,facet of,proof of an environmental agent
non invasive,subclass of,prenatal test
Down syndrome,subclass of,sentinel phenotype
chromosomal nondisjunction,subclass of,genomic variants
single drug treatment,subclass of,clinical efficacy
PLK1i,subclass of,PLK1 specific inhibitors
HDACi,subclass of,entinostat
in vivo experiment,facet of,clinical potential
MB PDX,subclass of,orthotopic MYC
budding stage,followed by,inflourescence development
inflourescence development,follows,budding stage
Optical sensor,use,early warning
casein zymography,studies,HtrA trimer
STING agonist,has part,STING
STING,part of,STING agonist
phospho STING,part of,STING
E3 ligase,product or material produced,STING
intracellular extract,different from,U IEs
U IEs,different from,intracellular extract
RAW264,subclass of,E IEs
citrate metabolism,instance of,KEGG pathway
sucrose metabolism,instance of,KEGG pathway
pyruvate metabolism,instance of,KEGG pathway
active induction,subclass of,biological activity
Biallelic CNTNAP2 loss,has effect,Pitt Hopkins like syndrome 1
Pitt Hopkins like syndrome 1,has cause,Biallelic CNTNAP2 loss
Seizure,part of,first two years of life
Autism spectrum disorder,subclass of,neuropsychiatric comorbidities
mono ,instance of,Genotype
bi allelic variants,subclass of,Genotype
biallelic,opposite of,monoallelic
monoallelic,opposite of,biallelic
primary visual cortex,has part,V1
V1,part of,primary visual cortex
novel stimulus,opposite of,familiar one
familiar one,opposite of,novel stimulus
ATP binding cassette,subclass of,transporters
ABC transporter subfamilies,parent taxon,Pipiens
verapamil,subject has role,ABC transporter inhibitor
ABCG6032427,has effect,ABCG6032427 knockdown
ABCG6032427 knockdown,has cause,ABCG6032427
Psiocene,has part,Psiocene
Psiocene,part of,Psiocene
OPC,subclass of,remyelinating capacity
physiology of aOCCs,studies,aOCCs
aOCCs,studied by,physiology of aOCs
aOCs,studied by,physiology of aOCs
Late Ordovician mass extinction event,part of,five great extinction events
five great extinction events,has part,Late Ordovician mass extinction event
outlier,subclass of,mass extinction
ocean chemistry,part of,atmospheric composition
human induced biodiversity crisis,instance of,extinction drivers
intensifying,said to be the same as,sixth mass extinction
sixth mass extinction,said to be the same as,intensifying
Conservation behaviour,subclass of,animal behaviour
lethal control,subclass of,managing the impact of a problematic species
alternative AI strategies,subclass of,AI
integrated database,subclass of,data driven
GRR,subclass of,iCre
iCre,subclass of,intraplacental injection
Allergic contact dermatitis,subclass of,skin disorder
avoid contact with allergens,medical condition treated,ACD
avoiding exposure,different from,avoiding exposure
ACD,has cause,"1 fluoro 2,4 dinitrobenzene"
"1 fluoro 2,4 dinitrobenzene",has effect,ACD
dimethylglycine,subclass of,betaine homocysteine methyltransferase
double,followed by,triple canal
Canals,has part,foramen
foramen,part of,Canals
type III canal,different from,type III canal
PET,subclass of,functional imaging
Breast cancer radiation therapy,facet of,Breast cancer
intrahepatic cholangiocarcinoma,subclass of,primary liver cancer
Y 90,subclass of,transarterial radioembolization
reddish coloration,facet of,transparency
TMPyP,has part,Starch
Galactan,different from,galactan
galactan,different from,Galactan
P,has part,P
type I,subclass of,rhamnogalacturonan
uniaxial tensile deformation,subclass of,tensile deformation
strain dependent deformation,subclass of,deformation
BALB,has part,c
c,part of,BALB
Social housing,opposite of,intra cage
intra cage,opposite of,Social housing
retinal nerve fiber layer,part of,retinal neural structure
retinal neural structure,has part,retinal nerve fiber layer
The Maastricht Study,number of participants,"5,666"
AIS,has part,TauOs
WT,opposite of,TKO
TKO,opposite of,WT
Depression,drug used for treatment,Phototherapy
Phototherapy,medical condition treated,Depression
cross controlled studies,subclass of,randomized controlled studies
GRADE and Review Manager,publication date,5.4.1
non stable interventions,has part,ceiling LED lights
ceiling LED lights,part of,non stable interventions
United States,ethnic group,Hispanic
ɛ4 allele,subclass of,APOE
Latin America,has part,Hispanic
Odds ratio,facet of,random effects analysis
Caribbean,continent,South America
South America,has part,Caribbean
Cuban,located on terrain feature,Caribbean
APOE,has effect,ADRD
ADRD,has cause,APOE
OR,different from,95% CI
95% CI,different from,OR
APOE ɛ4,has effect,ADRD
Central America,has part,Caribbean
Caribbean,part of,Central America
DM associated AD,opposite of,non AD/non DM controls
rust pandemic,has cause,snail population
snail population,has effect,rust pandemic
B1,subclass of,pellets
B2,subclass of,pellets
B3,subclass of,pellets
impact resistance,subclass of,mechanical strength
Moderate intensity intermittent exercise,facet of,Alzheimer dementia
TMT,subclass of,Intraperitoneal injection
Morris Water Maze,use,spatial memory
E,opposite of,N
N,opposite of,E
CA1,subclass of,pyramidal neuron
CA2 3,subclass of,pyramidal neuron
TNF α,has part,IL 10
TMT,has effect,BDNF
leptomycin B,subject has role,nuclear export inhibitor
nuclear export signal,part of,APEX2
succinate delivery,has part,succinate receptor
YouTube,instance of,videos
Carnivore,parent taxon,ungulate
conspecifics,subclass of,Animal
anecdotal,subclass of,Systematic studies
immunometabolic imbalance,subclass of,atypical depressive symptoms
steatosis,has effect,non alcoholic fatty liver disease
non alcoholic fatty liver disease,has cause,steatosis
STAT5b,subclass of,IGF1
KHK,different from,GCK
GCK,different from,KHK
GCK,encodes,KHK
IGF1,part of,STAT5b
STAT5b,has part,IGF1
genome copy,has cause,SARS CoV 2
SARS CoV 2,has effect,GC
GC,has cause,SARS CoV 2
SARS CoV 2,subclass of,GC
SARS CoV 2,has cause,GC
GC,has effect,SARS CoV 2
synthetic cannabinoid,subclass of,illicit market
5F MDMB PICA,instance of,primary metabolite
4F MDMB BICA,instance of,primary metabolite
liquid liquid extraction,use,enrichment of SCs
TPP SystmOne,instance of,electronic health record
Liverpool Ocular Oncology Centre,country,UK
CD68,part of,chromosome 3
MelanA,part of,chromosome 3
fundus autofluorescence,subclass of,wide field fundus color imaging
Tumor,has part,chromosome 3
chromosome 3,part of,Tumor
TARP,event distance,71.4 years
basal diameter,subclass of,tumor thickness
globe sparing treatment,subclass of,enucleation
Radiation treatments,different from,treatment plan
treatment plan,different from,Radiation treatments
Mucosal associated invariant T,subclass of,anti viral T cell
natural killer T,subclass of,anti viral T cell
γδT cell,subclass of,anti viral T cell
NKT,instance of,functional subsets
γδT cell,instance of,functional subsets
NKT,subclass of,MAIT cells
γδT,subclass of,MAIT cells
cardiac structural,subclass of,electrical phenotypes
'ankyrin B syndrome',subclass of,ANK2 loss of function variants
stochastic evolutionary stability,facet of,stochastic replicator dynamics
delayed graft function,subclass of,solid organ transplantation
proforma,use,Data extraction
lung transplant,subclass of,heart transplantation
Pb induced genotoxicity,different from,Pb toxicity
Pb toxicity,different from,Pb induced genotoxicity
automotive batteries,country,Brazil
Chikungunya virus,parent taxon,RNA virus
CHIKV human protein protein interaction map,facet of,CHIKV
STIP1,part of,U box containing protein 1
U box containing protein 1,has part,STIP1
G3BP1,part of,valosin containing protein
G3BP2,part of,valosin containing protein
AAA+ ATPase,part of,valosin containing protein
valosin containing protein,has part,G3BP1
valosin containing protein,has part,G3BP2
valosin containing protein,has part,AAA+ ATPase
VCP inhibitor,medical condition treated,CHIKV infection
CHIKV infection,drug used for treatment,VCP inhibitor
health sciences,instance of,academic fields
cellular uptake,has effect,focused localization
focused localization,has cause,cellular uptake
Cas9,subclass of,CRISPR
qRT PCR,subclass of,Western blot
long term evolution,opposite of,micro evolutionary processes
micro evolutionary processes,opposite of,long term evolution
Pteropus alecto,instance of,model species
Toba super eruption,instance of,historical events
coronary heart disease,subclass of,ischemic
Xinkeshu tablets,medical condition treated,CHD
CHD,drug used for treatment,Xinkeshu tablets
human umbilical vein endothelial cell,subclass of,HUVECs
Recombinant VEGFR tyrosine kinase inhibitor II,subclass of,HUVEC
XKS,medical condition treated,CHD
CHD,drug used for treatment,XKS
Environmental influences on Child Health Outcomes,country,United States
licit use,opposite of,illicit use
illicit use,opposite of,licit use
licit substances,opposite of,low or no substances
low or no substances,opposite of,licit substances
Children exposed to illicit substances in utero,opposite of,children exposed to low or no substances
children exposed to low or no substances,opposite of,Children exposed to illicit substances in utero
licit,opposite of,illicit
multi cohort,subclass of,large scale studies
functional film,has part,eugenol
FF5,opposite of,CF
FF3,instance of,film sample
eucalyptol,part of,Eucalyptus globulus leaf oil
p cymene,part of,Eucalyptus globulus leaf oil
Γ terpinene,part of,Eucalyptus globulus leaf oil
4 epi cubebol,part of,Eucalyptus globulus leaf oil
MIC,different from,MBC
MBC,different from,MIC
tenecteplase,subclass of,glycosylation sites
rational design,facet of,combinatorics
Smilax glabra Roxb,instance of,traditional Chinese medicine
Tufuling,located in the administrative territorial entity,Tufuling
COX2,instance of,signal pathway
IC The landscape of parasitic infections in the United States,country,United States
CD3,subclass of,T cell markers
CD45RO,subclass of,T cell markers
CD8,subclass of,T cell markers
FOXP3,subclass of,T cell markers
Granzyme B,subclass of,T cell markers
organizing center,subclass of,niche cell
shoot meristem,part of,cellular organization
no exercise,different from,long term exercise
long term exercise,different from,no exercise
M,different from,M detrainig
M detrainig,different from,M
anti inflammation,has cause,Exercise
Lipid malabsorption in the small intestine,has cause,LAL deficiency
LAL deficiency,has effect,Lipid malabsorption in the small intestine
villous morphology,part of,enterocyte
GLP 1,part of,Glucagon Like Peptide 1 (GLP 1)/GLP 1 receptor (GLP 1R) system
ELISA,use,quantified plasma insulin
preproglucagon,subclass of,mRNA
Exendin,subject has role,GLP 1R antagonist
4 DAMP,subject has role,muscarinic M3 receptor antagonist
Exendin 4,subject has role,GLP 1R agonist
callus,different from,nonunion
nonunion,different from,callus
pro inflammatory cytokines,subclass of,peripheral levels
antipsychotic responders,opposite of,antipsychotic non responders
antipsychotic non responders,opposite of,antipsychotic responders
ChAdOx1 nCoV 19,part of,SARS CoV 2 Delta and Omicron variants
SARS CoV 2 Delta and Omicron variants,has part,ChAdOx1 nCoV 19
second dose,has effect,Efficacy against detected infection by Delta
Omicron,subject has role,Efficacy against Omicron
third dose,has effect,restored efficacy
restored efficacy,has cause,third dose
bars,subclass of,restaurants
SARS CoV 2 vaccine,medical condition treated,Omicron infection
Omicron infection,drug used for treatment,SARS CoV 2 vaccine
functional dependency,subclass of,ageing related physical decline
Tool for the Assessment of Study Quality and Reporting in Exercise,main subject,Quality
PROSPERO,instance of,CRD
95% credible interval,subclass of,standardised mean difference
five times sit to stand test,instance of,Barthel index
30 s sit to stand test,instance of,Barthel index
sit and reach test,instance of,Barthel index
None,different from,None
Supplementary Materials section,language of work or name,Spanish
Andalusia,country,Spain
Spain,contains administrative territorial entity,Andalusia
arabinoxylan,instance of,dietary fibre
β glucan,instance of,dietary fibre
Mivebresib,medical condition treated,M1 polarization
M1 polarization,drug used for treatment,Mivebresib
Mivebresib,medical condition treated,SLE
SLE,drug used for treatment,Mivebresib
NLRP3,subclass of,pyrin domain containing 3
Ergolide,instance of,lactone
Western blot,subclass of,ELISA
NACHT domain,part of,NLRP3
NLRP3,has part,NACHT domain
delivery system,part of,application process
application process,has part,delivery system
ω 3 polyunsaturated fatty acids,subclass of,PUFA
docosahexaenoic acid,subclass of,PUFA
type 2 diabetes,drug used for treatment,Netrin 1
Netrin 1,medical condition treated,type 2 diabetes
Breakthrough,has effect,significant impact
significantly impact,has cause,Breakthrough
IgA,subclass of,secretory immunoglobulin A
Matrine,instance of,ACI value
matrine,subject has role,anti oxidant
NO,subject has role,proinflammatory mediators
ROS,subject has role,proinflammatory mediators
TNF α,subject has role,proinflammatory mediators
IL 6,subject has role,proinflammatory mediators
acinar vacuolization,studied by,ultrastructural
Colorectal cancer,studied by,multifactorial pathophysiology
multifactorial pathophysiology,studies,Colorectal cancer
sclerotized atrium,part of,atrial opening
atrial opening,has part,sclerotized atrium
epithelial gland,part of,cuticular cone
AF,has part,CHA
CHA,subclass of,AF
Identifier,part of,ClinicalTrials.gov
elastin like polypeptide,has part,histidine
HRELP,instance of,fusion tag
immune activating receptor,opposite of,immune inhibitory receptor
immune inhibitory receptor,opposite of,immune activating receptor
T cell,different from,NK cell
NK cell,different from,T cell
Birt Hogg Dubé,has effect,hybrid oncocytic/chromophobe tumour
hybrid oncocytic/chromophobe tumour,has cause,Birt Hogg Dubé
sporadic renal tumour,subclass of,renal tumour
Cell of origin analysis,studies,cells of origin
cells of origin,studied by,Cell of origin analysis
National Institutes of Health,subsidiary,National Cancer Institute
National Cancer Institute,part of,National Institutes of Health
Salsola,taxonomic type,kali
kali,parent taxon,Salsola
Salsola,instance of,kali patches
thorns,part of,prostrate structure
extravillous,subclass of,trophoblasts
Size Exclusion Chromatography Analysis Toolkit,use,co fractionated bottom up mass spectrometry
SECAT,use,CF MS
microvessel pattern,facet of,Non small cell lung carcinoma
IIIB disease,subclass of,NSCLC
LUSC,different from,LUAD
LUAD,different from,LUSC
non small cell lung cancer,drug used for treatment,immune checkpoint inhibitor
therapeutic regimens,has effect,therapeutic outcomes
therapeutic outcomes,has cause,therapeutic regimens
pathologic complete response,instance of,clinical outcome
2 Gray,subclass of,X ray
Differentially expressed,subclass of,lncRNA
lncRNA,subclass of,mRNA
haematolymphoid disease,studied by,Pathology
Pathology,studies,haematolymphoid disease
CRC,instance of,Healthy controls
HRA,instance of,Healthy controls
CRC,has cause,changes occurring prior to CRC diagnosis
changes occurring prior to CRC diagnosis,has effect,CRC
STAT3,instance of,N terminal domain
whole exome sequencing,has part,whole transcriptome
whole exome sequencing,has part,whole methylome
whole transcriptome,part of,whole exome sequencing
whole methylome,part of,whole exome sequencing
volume regulated anion channel,use,cell volume control
LRRC8A,subject has role,VRAC blocker
LRRC8A,medical condition treated,cerebral infarction
cerebral infarction,drug used for treatment,LRRC8A
Het mice,opposite of,KO animals
KO animals,opposite of,Het mice
VRAC,has effect,ischemic brain injury
ATP,use,energy needs
Ablation of CK,has effect,deficiency in energy supply
deficiency in energy supply,has cause,Ablation of CK
CK,subject has role,energy buffering
Rab8,subclass of,GTPase
duodenal ulcer,medical condition treated,esophagogastroduodenoscopy
esophagogastroduodenoscopy,medical condition treated,duodenal ulcer
Disseminated cryptococcosis,subclass of,fungemia
phototype,has cause,ultraviolet radiation
Hip dysplasia,subclass of,acetabulum
pelvis,connects with,femoral head
femoral head,connects with,pelvis
Western Ontario,has part,McMaster Universities
McMaster Universities,part of,Western Ontario
prior intervention,medical condition treated,acetabular hip dysplasia
preoperative WOMAC,opposite of,postoperative WOMAC
postoperative WOMAC,opposite of,preoperative WOMAC
lateral center edge angle,facet of,Tönnis osteoarthritis
principal component analysis,studies,inter relationships
alpha,instance of,ANOVA
Adult banded cucumber beetle,publication date,10.10340 022 01568 3
swarm intelligence,subclass of,evolutionary algorithm
extended evolutionary synthesis,part of,modern synthesis
modern synthesis,has part,extended evolutionary synthesis
multilevel selection genetic algorithm,facet of,multilevel selection
vortices,subclass of,filtration mechanisms
fish mouth,part of,mouth cavity
mouth cavity,has part,fish mouth
hydrodynamics,part of,fluid dynamics
fluid dynamics,has part,hydrodynamics
Fluent,developer,ANSYS
gill rakers,part of,gill raker surfaces
gill raker surfaces,has part,gill rakers
shears,part of,vortical flow
posterior most slot,subclass of,slot
Egg,use,oviparous
oviparous,uses,Egg
shiny cowbird,subclass of,egg pecking
Maternal effect,instance of,evolutionary strategy
chi square test,use,Analysis between qualitative variables
PRO Simat,instance of,simulation tool
Jimena framework,use,dynamical network simulation
cone rich,subclass of,model system
Conefull,subject has role,KO
Mice,has part,both sexes
both sexes,subclass of,Mice
all cone outer nuclear layer,part of,ERG
all cone,part of,outer nuclear layer
outer nuclear layer,has part,all cone
Photoreceptor,part of,visual system
visual system,has part,Photoreceptor
OTX2,subclass of,CRX
Leber congenital amaurosis,subclass of,photoreceptor disease
retinitis pigmentosa,subclass of,photoreceptor disease
AMH,instance of,model biomarker
Control I CV,followed by,Control II CV
Control II CV,follows,Control I CV
monocot,subclass of,Dicot
Mass cell percentage,subclass of,soil analysis
significant values,facet of,Statistical
gear support mechanism,subclass of,mechanical method
Tyrosyl DNA phosphodiesterase 1,subclass of,phospholipase D
TDP1 antagonist,opposite of,TOP1 inhibitor
TOP1 inhibitor,opposite of,TDP1 antagonist
TOP1,subclass of,substrate binding region
Groebke Blackburn Bienayme multicomponent reaction,subclass of,one pot
Alzheimer's disease,subclass of,non motor symptoms
cerebrovascular disease,subclass of,non motor symptoms
tau,subclass of,amyloid β
Sodium glucose co transporter 2 inhibitor,medical condition treated,type 2 diabetes
glucagon like peptide 1 receptor agonist,medical condition treated,type 2 diabetes
type 2 diabetes,drug used for treatment,Sodium glucose co transporter 2 inhibitor
type 2 diabetes,drug used for treatment,glucagon like peptide 1 receptor agonist
SGLT2i,medical condition treated,MACE
SGLT2i,medical condition treated,T2D
GLP 1RA,medical condition treated,T2D
hazard ratio,used by,Cox proportional hazards regression
HF,different from,ASCVD
ASCVD,different from,HF
SGLT2i,different from,GLP 1RAs
GLP 1RAs,different from,SGLT2i
Yulgilbar Innovation Award,conferred by,Dementia Australia
magnetic material,part of,MH
MH,has part,magnetic material
rugby ball,subclass of,magnetic microcapsule
murine rotator cuff repair,subclass of,BTI
Idiopathic pulmonary fibrosis,subclass of,progressive lung disease
nintedanib,subject has role,anti fibrotic drugs
pirfenidone,subject has role,anti fibrotic drugs
Common recurrent variants,facet of,disease risk and progression
Genome wide association studies,studies,genetic risk loci
genetic risk loci,studied by,Genome wide association studies
pHPT,subclass of,positive parathyroid scintigraphy
Ref 1 redox signaling,part of,ISR pathways
ISR pathways,has part,Ref 1 redox signaling
normoxic conditions,opposite of,hypoxic conditions
hypoxic conditions,opposite of,normoxic conditions
PERK,subclass of,transcriptional activity
AMG 44,subject has role,PERK inhibitor
GCN2iB,instance of,GCN2 inhibitor
PDAC,part of,co culture spheroids
co culture spheroids,has part,PDAC
co cultures,part of,3D
Coronavirus Disease (COVID) 19 pandemic in Brazil,start time,January 2016
PEEP,part of,PaO
PaO,has part,PEEP
peptic ulcer disease,subclass of,gastrointestinal disease
gastric carcinoma,subclass of,gastrointestinal disease
NIH,subsidiary,All of Us Research Hub
NIH,subsidiary,NHGRI AnVIL
NIH,subsidiary,NHLBI BioData Catalyst
NIH,subsidiary,NCI Genomic Data Commons
NIH,subsidiary,Kids First Data Resource Center
All of Us Research Hub,parent organization,NIH
NHGRI AnVIL,parent organization,NIH
NHLBI BioData Catalyst,parent organization,NIH
NCI Genomic Data Commons,parent organization,NIH
Kids First Data Resource Center,parent organization,NIH
data governance,facet of,data security
interoperability,facet of,data governance
stationary phase,part of,inner wall
CLDN18,subclass of,tight junction protein
TST001,instance of,recombinant humanized CLDN18.2 antibody
sitting position,uses,accelerometrically
right skewness,facet of,power distribution
Luminescent solar concentrator,subclass of,optical device
list of national key protected wildlife,is a list of,protected areas
protected wildlife in PAs,different from,PAs
PAs,different from,protected wildlife in PAs
1988,point in time,1988
not effectively protected by PAs,subclass of,PAs
PAs network,country,China
priority areas,number of participants,26
wildlife conservation planning,subclass of,conservation policies
JSFR AR SIM,instance of,artifact reduced reconstruction algorithm
JSFR,has part,AR SIM
AR SIM,part of,JSFR
England,shares border with,Wales
Wales,shares border with,England
population recovery,country,Britain
survey techniques,use,detect and monitor in the wild
camera trapping,use,mammal surveys
survey methods,uses,camera trap
camera trapping,uses,camera trap
white bellied pangolin,taxonomic type,white bellied pangolin
white bellied pangolin,parent taxon,white bellied pangolin
alpha scale,facet of,phylogenetic features
beta scale,facet of,phylogenetic features
phylogenetic conservation,opposite of,phylogenetic randomness
phylogenetic randomness,opposite of,phylogenetic conservation
functional convergence,facet of,functional diversity
MVFE,subject has role,anti atherogenic
Liquid Chromatography Tandem Mass Spectrophotometer,use,metabolite screening
Lectin type oxidized LDL receptor 1,subclass of,oxidized LDL
Cytoscape,use,Protein Protein Interaction
supply side risk management,subclass of,risk management
Kenya,instance of,focus group
Tanzania,instance of,focus group
Vietnam,instance of,focus group
lived experience,has part,social influences
social influences,part of,lived experience
adulteration,subclass of,unsafe selling practices
food safety concerns,facet of,food supply
α tocopherol transfer protein null,has effect,inflammatory response to LPS
inflammatory response to LPS,has cause,α tocopherol transfer protein null
Marine protected area,subclass of,area based tool
Central Indo Pacific Ocean,has part,Central Pacific Ocean
Central Pacific Ocean,part of,Central Indo Pacific Ocean
heparan sulfate,instance of,mucopolysaccharide
dermatan sulfate,instance of,mucopolysaccharide
keratan sulfate,instance of,mucopolysaccharide
joint restriction,has cause,retinitis pigmentosa
retinitis pigmentosa,has effect,joint restriction
pathological examination,studies,valvular tissue
valvular tissue,studied by,pathological examination
newborn screening,facet of,MPS I
MPS I,has effect,eye symptoms
eye symptoms,has cause,MPS I
enzyme replacement therapy,medical condition treated,MPS I
Dynamo protein,subclass of,GTPases
non obese,subclass of,Weight
alpha 1 antitrypsin,medical condition treated,PCOS
PCOS,drug used for treatment,alpha 1 antitrypsin
HDL cholesterol,subclass of,lipoprotein metabolism associated protein
LDL cholesterol,subclass of,lipoprotein metabolism associated protein
alpha 1 antichymotrypsin,medical condition treated,PCOS
HCFII,medical condition treated,PCOS
complement C3,has part,alpha 1 antitrypsin
cancer associated adipocyte,subclass of,CAA
Plin1,has part,HSL
HSL,part of,Plin1
Plin1,subclass of,lipolytic markers
peri operative factors,subclass of,clinical factors
middle income countries,subclass of,low 
containment and release dichotomy,has part,contained release
contained release,part of,containment and release dichotomy
Testicular teratoma,subclass of,testicular germ cell tumor
antennal,part of,rhinaria
rhinaria,has part,antennal
Wumei Bolus,instance of,traditional Chinese medicine
Wumei Bolus,instance of,control group
Wumei Bolus,medical condition treated,UC
UC,drug used for treatment,Wumei Bolus
Addis Ababa,country,Ethiopia
Ethiopia,contains administrative territorial entity,Addis Ababa
interviewer administered questionnaires,subclass of,semi structured
dumping,subclass of,open burning
pad changing rooms,subclass of,toilet
MHM education,has part,emergency pad
emergency pad,part of,MHM education
non renewable materials,opposite of,eco friendly renewable materials
eco friendly renewable materials,opposite of,non renewable materials
pectin MgO/polyvinyl alcohol,has part,polyvinyl alcohol
PP film,opposite of,PMP film
PMP film,opposite of,PP film
PP,opposite of,PMP
PMP,opposite of,PP
modulus,facet of,ductility
support vector machine,instance of,machine learning algorithm
SVM,use,EEG signal preprocessing
Exploratory analysis,studies,sequence of task execution
sequence of task execution,studied by,Exploratory analysis
Tanzania,continent,Africa
high livestock grazing intensity,subclass of,livestock grazing intensity
Cancer,instance of,leading cause of human death
@@@@@@@@ALKBH5,instance of,functional single nucleotide polymorphisms
door snail,instance of,taxa
radula,instance of,taxa
Competing risks regression,facet of,cardiac related death
confounding bias,has effect,propensity score matching
Astrocytoma,has effect,"14,834 patients diagnosed with astrocytoma"
Cancer,has effect,cardiac related death
Cancer,has effect,Astrocytoma
Astrocytoma,has cause,Cancer
CA2,part of,Hippocampal area
CA1,part of,Hippocampal area
CA3,part of,Hippocampal area
buffer solution,has part,salt ions
sodium chloride,instance of,salt ion
pore initiation,has cause,line tension
line tension,has effect,pore initiation
GUV electroporation experiments,uses,MD simulations
MD simulations,used by,GUV electroporation experiments
LLPS,studied by,LLPS process
LLPS process,studies,LLPS
LLPS,subclass of,optical imaging
Breast cancer,subclass of,silent killer disorder
docking analysis,subclass of,data mining
Gene Ontology,used by,Computational Analysis of Novel Drug Opportunities
interactomic signature,facet of,integrated network
interactomic pipeline,facet of,Computational Analysis of Novel Drug Opportunities
Cancer cell line,subclass of,research model
Pearson's correlation analysis,instance of,pooled data
primary lesion site,followed by,metastatic lesion site
metastatic lesion site,follows,primary lesion site
review papers,subclass of,research papers
ETT,part of,US phantom model
US phantom model,has part,ETT
pre ,subclass of,knowledge assessment test
postcurriculum,subclass of,knowledge assessment test
Wilcoxon signed rank test,use,repeated measures analysis of variance
Gram negative bacteria,opposite of,Gram positive
Cysteamine,instance of,Cysteamine
rotten meat,subclass of,unsanitary conditions
northwest,country,China
whole genome duplication,subclass of,Gene duplication
small scale duplication,subclass of,Gene duplication
Andean,country,Peru
Huascarán National Park,country,Peru
stratified randomized sampling,subclass of,Soil sampling
gouge auger,use,peat core
peatland,subclass of,wet meadow
high throughput genotype sequencing,uses,molecular marker
possibilities,subclass of,Prospects
quantitative trait loci,subclass of,DNA markers
ST,has part,ST
ST,part of,ST
DT,has part,ST
ST,part of,DT
Cava,has part,Macabeo
Valencia,country,Spain
shading,subclass of,achieved
shading,different from,pruning
pruning,different from,shading
mulching,uses,Shade
premium Cava,subclass of,cava
Sanger sequencing,facet of,Pathogen
Morquio A syndrome,has cause,airway obstruction
trachea,connects with,thoracic cage
thoracic cage,connects with,trachea
Enzyme replacement therapy,medical condition treated,Morquio A
Morquio A,drug used for treatment,Enzyme replacement therapy
palliation,subclass of,progressive tracheal obstruction
Fusarium wilt of banana,has cause,Anthropogenic
Anthropogenic,has effect,Fusarium wilt of banana
1 aminocyclopropane 1 carboxylate,subject has role,precursor
Lyme disease,subclass of,tick borne disease
Alps,country,Swiss
rooibos,subclass of,teabags
OM decomposition,has cause,solar radiation
aquatic ecosystem,subclass of,biogeochemical cycle
aquatic ecosystem,has part,water variables
