head,type,tail
no cure,facet of,Alzheimer's disease
no exercise,different from,long term exercise
no known cure,facet of,fasd
no linkage to allergies,facet of,nutritiousness
no protocol,opposite of,multiple versions
no,subclass of,cytokine
no,subclass of,monoamine
no,subclass of,pro inflammatory factors
no,subject has role,proinflammatory mediators
no,subclass of,sarcopenia
nob,different from,pnr
nocardicin,subclass of,nrps
nocardioidaceae,instance of,taxa
nociception,subclass of,endosomal signaling
nociception,different from,nociception
nociception,subclass of,pain
nociception,subclass of,thermal
nociceptor,has effect,antibody
nocturnal animals,subclass of,behavior
nodal protein spreading,part of,demyelination
node,part of,Biological network
node,part of,core
node,part of,interaction network
node,part of,network
node,part of,phylogeny
nodose/petrosal/jugular ganglion,has part,geniculate ganglion
nodulation factor (NF) signaling,opposite of,BR signaling
nodule senescence,has cause,gene
noduli,part of,neuron
noise elimination,subclass of,computational complexity
noise,has cause,morphogen
noise,has cause,structural complexity
noisy fluorescence,subclass of,data analysis
noisy real world settings,subclass of,forecast
nol1,part of,promoter
nomenclature,part of,etiology
non EC,subclass of,endothelial cell
non GC controls,opposite of,gc
non Hodgkin lymphoma,subclass of,acute lymphoblastic leukaemia
non MC,different from,colorectal adenocarcinoma
non N treatment,subclass of,control
non academic,opposite of,academic
non alcoholic fatty liver disease,subclass of,nafld
non alcoholic fatty liver disease,studied by,predictive
non alcoholic fatty liver disease,has cause,steatosis
non alcoholic steatohepatitis,subclass of,hepatocellular carcinoma
non alcoholic steatohepatitis,subclass of,steatosis
non angiogenic alveolar,opposite of,angiogenesis
non asthmatic,different from,asthmatic
non cancer,different from,cancer
non cancerous tissues,opposite of,tumor
non canonical developmental stages,opposite of,wild type
non canonical function,subclass of,decipher
non canonical roles,facet of,tcac
non canonical splice sites,subclass of,splicing
non canonical,subclass of,nucleoside
non chemical based alternative control methods,facet of,vector populations
non chlorotic trees,opposite of,chlorotic pomegranate trees
non clathrin dependent pathways,opposite of,Clathrin dependent endocytosis
non climatic factors,opposite of,climatic
non coated valve,medical condition treated,valve thrombosis
non codeleted glioma,opposite of,IDH mutant
non codeleted glioma,subclass of,glioma
non codes,opposite of,code
non coding RNAs,part of,genome
non coding regions,subclass of,genetic aberrations
non coding,subclass of,rna
non cognitive,opposite of,cognitive
non cohesive complex,opposite of,cohesive complex
non cohesive complexes,opposite of,cohesive complexes
non communicable diseases,opposite of,communicable
non communicable diseases,has cause,health promotion
non communicable,subclass of,infectious diseases
non covalent,subclass of,catalysis
non covalent,subclass of,interaction
non crossreactive pHLAs,different from,cross reactive
non curative,subclass of,management options
non degradable plastics,subclass of,plastics
non degraded,subclass of,degradation
non diabetic controls,subclass of,type 1 diabetes
non diabetic,different from,diabetic
non diabetic,different from,diabetics
non directional change,opposite of,linear directional change
non drinkers,opposite of,alcohol drinkers
non endemic,opposite of,endemic
non enzymatic,subclass of,mechanical separation
non equilibrium,subclass of,energy dissipation
non essential HM,opposite of,essential HM
non exposed reference,subclass of,knee
non feeding,different from,feeding
non genetic factors,part of,genetic
non genetic,opposite of,genetic
non hazardous waste landfills,applies to jurisdiction,European Union
non histone,subclass of,protein
non homologous end joining,subclass of,cellular repair pathway
non homologous end joining,subclass of,dsbr
non homologous end joining,subclass of,repair
non hospitalized,different from,hospitalize
non human primates,subclass of,primate
non ice binding,part of,afp
non identifiability,subclass of,regression model
non immune,opposite of,immune
non imprinted,opposite of,imprint
non invasive,subclass of,diagnose
non invasive,subclass of,diagnosis
non invasive,subclass of,diagnostic methodology
non invasive,subclass of,prenatal test
non irradiated,medical condition treated,rectal cancer
non isogenic species,has cause,genotype
non isogenic,subclass of,model organism
non isogenic,subclass of,model organisms
non linear system,subclass of,biological system
non living things,opposite of,living entities
non lymphoid,subclass of,tissue
non male factor,subclass of,assisted reproductive technique
non malignant SSLs,different from,pre malignant
non melanoma,subclass of,skin cancer
non metastatic organs,opposite of,metastatic organs
non metastatic organs,subclass of,organotropic
non metastatic,different from,metastatic treatment naïve
non mismatch repair deficient,has effect,endometrial cancer
non model organisms,studied by, omics
non model organisms,subclass of,model
non monotonically affected growth,facet of,atrazine
non motor symptoms,subclass of,movement disorder
non muscle invasive bladder cancer,different from,muscle invasive bladder cancer
non muscle myosin II,subclass of,F actin
non native ant,opposite of,native ant
non natural origin,subclass of,macrocycle
non neuroendocrine,subclass of,tumour
non nucleoside inhibitor,subclass of,inhibitory
non obese,subclass of,weight
non ornamented,facet of,dragonfly
non parenchymal,subclass of,cell
non pathogenic viruses,subclass of,Viral interactions with their hosts
non photoluminescent,opposite of,photoluminescent
non porous,subclass of,surface
non productive transcription,subclass of,gene transcription
non rapid eye movement,subclass of,sleep
non regenerative tissue,subclass of,apoptosis
non renewable materials,opposite of,eco friendly renewable materials
non renewable resources,opposite of,renewable natural resources
non replicating,instance of,vaccine
non ribosomal peptide synthetase,subclass of,enzyme
non ribosomal peptide synthetase,subclass of,modular enzymes
non rigid connection option,opposite of,Implant  tooth FDPs with rigid connector
non selective GR antagonists,opposite of,selective GR modulators
non shivering thermogenesis,subclass of,heat
non small cell lung cancer,drug used for treatment,PAPSS1 inhibitors
non small cell lung cancer,drug used for treatment,Tyrosine kinase inhibitor
non small cell lung cancer,subclass of,cancer
non small cell lung cancer,drug used for treatment,durvalumab
non small cell lung cancer,drug used for treatment,epidermal growth factor receptor
non small cell lung cancer,drug used for treatment,immune checkpoint inhibitor
non small cell lung cancer,has part,lobe specific lymph node dissection
non small cell lung cancer,drug used for treatment,pembrolizumab
non small cell lung cancer,drug used for treatment,second generation tyrosine kinase inhibitor
non small cell lung cancer,has part,systematic lymph node dissection
non small cell lung cancer,subclass of,tumor
non small cell lung carcinoma,has cause,hypoxia
non small cell lung carcinoma,drug used for treatment,immunotherapy
non small cell,subclass of,tumor
non smokers,opposite of,smoker
non specific biodistribution,subclass of,in vivo
non specific,subclass of,anticancer agent
non stable interventions,has part,ceiling LED lights
non structural,subclass of,proteins
non substrates,subclass of,small molecules
non supervised,subclass of,statistical methods
non synonymous,opposite of,synonymous nucleotide substitutions
non target species,subclass of,species
non tumoral cell,part of,tumor biology
non tumorous oropharyngeal tissue,subclass of,oropharyngeal tissues
non unidirectional model,subclass of,model
non union fracture,has cause,osteoprogenitor
non union,subclass of,bone fracture
non union,subclass of,bone healing
non vector borne,subclass of,infectious diseases
non visible,opposite of,visible
nonadhesive,opposite of,adhesive
nonalcoholic fatty liver disease,subclass of,chronic liver disease
nonalcoholic steatohepatitis,subclass of,Nonalcoholic fatty liver disease
noncargo shipping,subclass of,shipping
nonclinical data,subclass of,developing new drug therapies
noncoding RNA,has part,DNA methylation
noncoding RNA,part of,genomic
noncoding elements,has part,promoter
noncoding telomeric repeat,subclass of,rna
nondiabetic,subclass of,Blood glucose
none child,opposite of,Pregnant women with more than one child
none,different from,none
nonendangered,opposite of,endangered
nonfunctional,opposite of,functional
nonheat inactivated plasma,different from,heat inactivated
nonheme diiron N monooxygenase,subclass of,biosynthesis
nonhuman,opposite of,mammal
nonimmune cells,opposite of,immune
noninvasive,subclass of,biomarker
noninvasive,subclass of,screening
nonlactating,subclass of,gestation
nonlinear elasticity,studied by,solid mechanics
nonlinear material model,subclass of,fluid structure interaction
nonlinear methods,subclass of,genomic prediction
nonlinear mixed effects,instance of,model
nonlinear,opposite of,linear methods
nonneoplastic,subclass of,neoplastic disorders
nono,instance of,gene
nonphotochemical quenching,subclass of,photoprotection
nonradiative,opposite of,radiative
nonsense mediated mRNA decay,subclass of,RNA based regulatory pathways
nonspherical,subclass of,base shape
nonsynonymous,opposite of,synonymous diversities
nontraumatic subarachnoid hemorrhage,has cause,Intracranial aneurysm
nonunion,different from,callus
noon in nature,said to be the same as,ebb tide
nop2,part of,promoter
nor fluoxetine,subject has role,antidepressant
noradrenergic receptor,part of,noradrenergic system
noradrenergic system,has part,noradrenergic receptor
norc,instance of,gene
norepinephrine,instance of,neurotransmitter
norine,main subject,nonribosomal peptides
normal distribution,has part,standard deviation
normal maize,subclass of,maize
normal rodent diet,subclass of,control group
normal saline solution,part of,Wistar rats
normal tissues,different from,nsclc
normal tissues,opposite of,thyroid tumor
normal urothelium,opposite of,benign urothelium
normal weight,different from,obesity
normalizable,subclass of,asymptotic distribution
normalization of blood test results,medical condition treated,ms
normalization strategy,subclass of,normalization methods
normalization,subclass of,data analysis
norman,country,USA
normoxic conditions,opposite of,hypoxic conditions
normoxic,different from,hypoxic
normozoospermic,subclass of,semen
normseq,use,data normalization
normseq,instance of,freely available
normseq,use,information gain
normseq,use,web server
norovirus,has effect,viral gastroenteritis
north,country,China
north,shares border with,northeast
north,country,uganda
northeast,part of,Asia
northeast,country,China
northeast,shares border with,north
northeast,country,uganda
northern,country,China
northwest,country,China
nos,has effect,biofouling
not diffuse,different from,diffuse
not effectively protected by PAs,subclass of,pas
not inflamed,subclass of,tumor
notch,instance of,cancer pathways
notch1,instance of,proto oncogenes
nourseothricin,subject has role,bactericidal
nourseothricin,has part,streptothricin D
nourseothricin,has part,streptothricin F
nov,has effect,shed
nova2,subject has role,AS regulator
nova2,part of,ac
novaloc,product or material produced,angulated abutments
novaloc®,has part,blue patrice
novaloc®,instance of,implant
novel PKCs,opposite of,classical
novel insect specific gene,instance of,gene
novel operant paradigm,has part,control tutor
novel stimuli,subclass of,neural responses
novel stimulus,opposite of,familiar one
novel,subclass of,disease associated variants
novelty,different from,stress
novice,opposite of,expert
novosphingobium,instance of,taxa
novymonadis,parent taxon,pandoraea
np,subclass of,cancer therapy
np,facet of,encapsulation efficiency
npass,instance of,database
npc,studied by,bibliometric
npc,has part,cell
npc,part of,tumorigenic
npc1,instance of,cohort
npc1,instance of,gene
npc1a,instance of,gene
npf,subclass of,conformation
npq,has part,NPQ relaxation
npq,instance of,genotype
nr1h3,has effect,sepsis
nr1h4,instance of,gene
nr2f1a,instance of,transcription factor
nr4a2,instance of,gene
nr5a1,instance of,marker
nramp1,part of,Mn transporter
nramp1,part of,cipk23
nrem,subclass of,sleep
nrf1,instance of,markers of mitochondrial biogenesis
nrf2,has cause,IRG1 deficiency
nrf2,part of,Nuclear factor (erythroid derived 2) like 2
nrf2,medical condition treated,aml
nrf2,part of,macrophage
nrf2,instance of,protein
nrf2,subclass of,transcription factor
nrf2/are,subclass of,Nuclear Factor E2 related factor 2/Antioxidant response element
nrg1,instance of,recurrent gene
nrg4,instance of,gene
nrps,encodes,bgc
nrt1,instance of,gene
nrt1,subclass of,transceptor
nrt1,subclass of,transduction cascade
nrt2,instance of,mutant
nrt2,follows,nrt1
nrt2,part of,root high affinity nitrate (NO3 ) uptake
nrt2,instance of,signaling pathway
ns1,subclass of,proteins
ns2a,subclass of,proteins
ns2b,part of,DENV 2
ns3,part of,DENV 2
nsc,subclass of,culture
nsclc,has part,ALK positive
nsclc,drug used for treatment,PBF 1129
nsclc,has cause,alk
nsclc,instance of,cell line
nsclc,has cause,hypoxia
nsclc,different from,normal tissues
nsclc,subclass of,oncologic
nsclc,instance of,signaling pathways
nsd1,instance of,gene
nsp3,subclass of,Nonstructural protein 3
nsun4,instance of,gene
nsun7,subclass of,5 methylcytosine RNA methyltransferase
nsun7,subject has role,DNA methylation
nt,has cause,atra
ntab,subclass of,neutralizing antibody
ntd,instance of,structural domain
nte,drug used for treatment,collagen
nts,part of,hypothalamus
nu,subclass of,mouse
nub1l,part of,proteasome
nub1l,part of,rpn1
nucelar cells,subclass of,gametophyte
nucellar,subclass of,gametophyte
nuclear accident,has cause,ionizing radiation
nuclear buds,subclass of,micronucle
nuclear condensates,studied by,nuclear mechanics
nuclear covalently closed circular DNA,part of,genome
nuclear expansion,followed by,anaphase
nuclear export signal,part of,apex2
nuclear factor kappa B,part of,egfr
nuclear gene compensation,opposite of,cytoplasmic mutation pressure
nuclear genome,has effect,genetic differentiation
nuclear genome,has part,mitochondrial
nuclear green fluorescent protein,subclass of,reporter
nuclear magnetic resonance,studies,proton
nuclear maturity,different from,cytoplasmic maturity
nuclear mechanics,studies,nuclear condensates
nuclear morphology,studies,nuclear shape and size
nuclear pore complex,has part,permeability barrier
nuclear pore,part of,nucleocytoplasmic transport
nuclear proteins,subclass of,intracellular
nuclear shape and size,studied by,nuclear morphology
nuclear size and shape,studied by,morphometric
nuclear staining,subclass of,tumor
nuclear weapons,has effect,ionizing radiation
nuclear,has part,chk1
nuclear,part of,cytoplasmic
nuclear,connects with,endoplasmic reticulum
nuclear,subclass of,gene
nuclear,connects with,mitochondrial
nuclear,instance of,phylogeny
nuclease,subclass of,ATP/aptamer recognition
nucleated erythrocyte,part of,chromatin
nucleic acid,studied by,analysis
nucleic acid,subclass of,biomacromolelele
nucleic acid,subclass of,biomolecule
nucleic acid,part of,coding
nucleic acid,studied by,fish
nucleic acid,studied by,h&e
nucleic acid,studied by,ihc
nucleo,part of,cytoplasmic
nucleobase,has part,formalin
nucleoid,part of,genome
nucleolus,part of,cell
nucleolus,part of,cytoplasm
nucleolus,part of,germ cell
nucleoplasm,part of,er
nucleoprotein filament,subclass of,polymer
nucleoprotein,part of,nuclear transport receptor
nucleoprotein,part of,nucleocytoplasmic transport
nucleoprotein,subclass of,protein
nucleoprotein,has part,repeat
nucleoside derivatives,has part,nucleoside
nucleoside,part of,nucleoside derivatives
nucleoside,has part,nucleotide
nucleosome,part of,Genome
nucleosome,has part,cenh3
nucleosome,has part,cenpa
nucleosome,part of,chromatin
nucleosome,has part,dna
nucleosome,has part,gene
nucleosome,has part,histone
nucleotide excision repair system,has part,DNA damage sensor
nucleotide,subclass of,analogue
nucleotide,has part,codon
nucleotide,subject has role,depolymerize
nucleotide,part of,haplotype
nucleotide,part of,metabolism
nucleotide,part of,nucleoside
nucleotide,has part,residue
nucleotide,part of,sequence
nucleotide,has part,t
nucleus,has part,G4 foci
nucleus,has part,aggregate
nucleus,subclass of,biomolecular condensates
nucleus,part of,cytoplasm
nucleus,part of,eukaryote
nucleus,product or material produced,f actin
nucleus,part of,genome
null cell,opposite of,wild type cells
null mutant,subclass of,phenotype
nullipara,opposite of,multipara
number of relapses,different from,time to first relapse
numerical analysis,studies,system
numerical aperture,part of,objective
numerical,part of,mathematical
nup,subclass of,promoter
nup160,instance of,coding sequence
nup54,instance of,promoter
nup58,instance of,promoter
nup62,instance of,promoter
nup96,instance of,coding sequence
nurd,has part,N terminus
nurd,instance of,chromatin remodeling complex
nurd,part of,cortex
nurd,subclass of,interacting motif
nurse,instance of,profession
nurture,said to be the same as,stabilise
nutraceutical,subclass of,dietary supplement
nutrient cycling,part of,ecosystem functioning
nutrient cycling,part of,plant litter
nutrigenomic,part of,Nutri genetic
nutrition literacy,facet of,nutrition education
nutritional benefits,facet of,consumption
nutritional composition,facet of,fish
nutritional reward,subclass of,benefit
nutritional strategies,subclass of,symbiose
nutritional supplement,subclass of,therapeutic agent
nvp,instance of,complex
nymph,followed by,egg
nymphal,subclass of,stage
o127:h4,subclass of,st678
o131:h4,subclass of,st678
o3,has part,ozone
o69:h4,subclass of,st678
oa,subclass of,UIA instability
oa,different from,hgps
oa,has cause,inflammation
oac,instance of,molecular mechanisms
oak tree,taxonomic type,cyclobalanopsis
oas,instance of,gene
oas1,part of,OAS family
oas1,instance of,gene
oas2,part of,OAS family
oas2,instance of,gene
oas3,part of,OAS family
oas3,instance of,gene
oasis,facet of,cell cycle
oasis,subclass of,transcription factor
oasl,part of,OAS family
ob,opposite of,bb
obese,has cause,high fat diet
obese,different from,lean
obese,has effect,polycystic ovarian syndrome
obesity disease,has cause,obesity
obesity epidemic,has cause,metabolic diseases
obesity in children,has cause,metabolic syndrome
obesity related OA,drug used for treatment,menaquinone
obesity treatment,studied by,pharmacological
obesity,has part,C H
obesity,has effect,Metabolic syndrome
obesity,has effect,Social determinants of health
obesity,has effect,Type II diabetes
obesity,has effect,abdominal fat
obesity,has effect,cardiovascular disease
obesity,subclass of,chronic disease
obesity,has effect,colorectal cancer
obesity,opposite of,control
obesity,has effect,cvd
obesity,has effect,diabetes
obesity,has cause,dietary patterns
obesity,instance of,disease
obesity,has cause,fat
obesity,has effect,gestational diabetes
obesity,has effect,hand and knee OA
obesity,has effect,health disparities
obesity,has cause,increased body mass
obesity,has effect,increasing the risk of many diseases
obesity,has cause,inflammatory
obesity,has cause,metabolic alterations
obesity,has effect,metabolic changes in childhood obesity
obesity,has effect,metabolic complications
obesity,has effect,metabolic disorders
obesity,has effect,metabolic disturbances
obesity,different from,normal weight
obesity,has effect,oxidative stress
obesity,has effect,postmenopausal
obesity,has effect,related complications
obesity,has effect,related disorders
obesity,studied by,scientific research
obesity,has effect,t2dm
obesity,has effect,weight loss
obesogenic,opposite of,leptogenic
obeticholic acid,subject has role,Farnesoid X Receptor
objective differences in biomolecules,facet of,ME
objective,part of,cellular
obligately sexual,subclass of,competitive niches
observation,different from,behaviour
observational studies,subclass of,research
observational,subclass of,clinical study
observational,subclass of,study
observed wave,subclass of,general time series
obsessive compulsive disorder,has cause,compulsion
obv,subclass of,mri
oc,has part,gr
oca,subject has role,anti inflammatory
occipital cortex,part of,brain
occludin,instance of,protein
occludin,instance of,proteins
occludin,subclass of,tight junction protein
occlusal line,part of,mandibular
occupational carcinogen,has effect,lung cancer
occupational health,facet of,safer work environment
occupational therapy,instance of,profession
occupational therapy,subclass of,rehabilitation
ocd,has cause,childhood traumatic experiences
ocd,has effect,compulsion
ocd,different from,functional acts
ocean chemistry,part of,atmospheric composition
ocean,instance of,marine
ocean,part of,marine ecosystem
ocean,studied by,marine research
oceanic dolphin,opposite of,coastal dolphin
oceanic,instance of,ecosystem
oceanography,part of,biological
oceanography,part of,chemical
ocotillol type ginsenoside MR2 (majonside R2) biosynthesis,product or material produced,ocotillol
octanoylcarnitine,medical condition treated,acute respiratory failure
octanoylcarnitine,subclass of,acylcarnitine
octopodiform,subclass of,buccal mass
octopus,parent taxon,cuttlefish
ocular biology,studies,omics
ocular disorders,drug used for treatment,PGF2α analogues
ocular lens,subclass of,lens morphogenesis
ocular reaction,has cause,Intraocular cilia
ocular structures,has part,cornea
ocular tissues,part of,eye
ocular tissues,has part,lens
od,part of,adipose
odds ratio,different from,95% CI
odds ratio,subclass of,measure the effect of different variables
odds ratio,facet of,multivariate logistic regression
odonata,instance of,taxa
odontoblast,subclass of,cell
odontoblast,instance of,differentiation
odontoblast,opposite of,mesenchymal cells
odorifera,parent taxon,serratia
oeo,has part,carvacrol
oeo,subclass of,nanodroplet
oesophageal adenocarcinoma,has effect,Barrett's oesophagus
offset,part of,Activity duration
offspring,has cause,growth and development
offspring,follows,neonatal
offspring,opposite of,parent
offspring,has cause,postnatal
ofpfs,instance of,os
og,instance of,physiological concentration
ogdhc,has part,e2o
ogdhc,subclass of,enzyme
ogdhc,parent taxon,eukaryotic
ogdhc,part of,metabolism
ogg1,subclass of,DNA glycosylases
ogg1,instance of,genotyping
oil in water,subclass of,emulsion
oilseed rape,taxonomic type,Brassica napus
oilseed rape,country,Denmark
oir,different from,OIR group
okra,has parts of the class,fruit
okra,has parts of the class,leave
okra,has parts of the class,seed
ol,opposite of,gl
ol,subclass of,myofiber
olanzapine,medical condition treated,neuropsychiatric symptoms of SLE
olanzapine,medical condition treated,ra
olanzapine,medical condition treated,rheumatoid arthritis
olanzapine,medical condition treated,sle
olanzapine,medical condition treated,systemic lupus erythematosus
old age,opposite of,adulthood
older individuals,opposite of,younger than 65 years old
older knowledge,opposite of,newer research
older subjects,opposite of,younger subjects
older,subclass of,gene
oleic acid,subject has role,cytotoxic
oleic,instance of,fatty acid
olfaction,subclass of,detection of chemical signals
olfactory bulb volume,part of,olfactory function
olfactory bulb,part of,cerebrum
olfactory epithelium,has part,cilia membrane
olfactory function,has part,olfactory bulb volume
olfactory system,studies,potato tuber moth
olfactory,instance of,function
olfactory,part of,human body
olfactory,studies,stimulus
olfr544,instance of,surface expression
olig2,subclass of,immunohistochemical markers
oligo urethane diacrylate,instance of,hydrogel
oligodendrocyte precursor cell,part of,oligodendrocyte
oligodendrocyte precursor cells,subclass of,tanycyte
oligodendrocyte,part of,immune response
oligodendrocyte,subclass of,neuron
oligodendrocyte,has part,oligodendrocyte precursor cell
oligodendroglia,instance of,biological pathways
oligodendroglioma,subclass of,glioma
oligodontia,has cause,agenetic teeth
oligodontia,subclass of,patient
oligomer,subclass of,globular complex
oligomer,subclass of,monomer
oligomer,subclass of,peptide
oligomerization,has effect,activation
oligophagous,subclass of,pest
oligoprogressive,subclass of,Oligometastatic lung tumor
oligourethane,instance of,hydrogel
olive oil,subclass of,vegetable fat
olive pomace,has part,oo
om,has part,Fe
om,has part,c
om,follows,cm
om,subclass of,electromyography
om,subclass of,sensory feedback
omadacycline,medical condition treated,HFS Mab
omadacycline,subject has role,oral
omadacycline,medical condition treated,pulmonary Mab disease
omadacycline,medical condition treated,sscc
omentin,subclass of,adipocytokine
omeprazole,instance of,drug
omicron infected sera,has cause,two dose vaccination
omicron infection alone,different from,two dose vaccination
omicron variants,has part,pre omicron
omicron,has part,Delta
omicron,subject has role,Efficacy against Omicron
omicron,country of origin,Netherlands
omicron,parent taxon,SARS CoV 2
omicron,subclass of,Viral sequences
omicron,has part,beta
omicron,has part,gamma
omicron,instance of,generation interval distribution
omicron,subject has role,persistent
omicron,has effect,pre omicron infection
omicron,parent taxon,sarbecovirus
omics,has part,cv
omics,subclass of,data integration
omics,studies,microbiota
omics,studied by,ocular biology
omics,studies,plant hosts
omics,studies,soil
omim,instance of,database
omnipath,instance of,protein interaction database
omop,instance of,ontology
omop2obo,instance of,mapping
ompk36,instance of,gene
ompr,subclass of,protein
omv,instance of,immunization
omv,subclass of,volatile compound
on site detection,subclass of,rapid detection
onc201,subject has role,ClpP agonist
onc201,subject has role,DRD2 antagonist
onc201,medical condition treated,dipg
oncogenic,has effect,cancer
oncologist,different from,endocrinologist
oncology,studies,cancer
oncolytic measles virotherapy,medical condition treated,esophageal squamous cell carcinoma
oncolytic,subclass of,antiviral drug
oncomine,instance of,database
oncoming season,has cause,coronavirus disease 2019
oncopredict,instance of,algorithm
one  and two compartmental pharmacokinetic models,different from,two compartmental pharmacokinetic models
one compartment model,opposite of,two compartment pharmacokinetic model
"one compartment, time varying model",opposite of,standard one compartment model
one dimension,part of,two dimensions
one ended DSBs,opposite of,replication associated DSBs
one medicine,has part,human medicine
one medicine,has part,regenerative therapies
one of the 26 challenging variants,part of,26 variants
one year after the exposure,follows,first exposure
one year trial,subclass of,trial
ongoing pandemic,has cause,SARS CoV 2
onion seed,subclass of,seed
onion,subclass of,epidermal cells
online questionnaire,subclass of,self reported
online system score,part of,clingen
online version,publication date,10.1007/s12088 022 01052 7
only available therapy,medical condition treated,APAP intoxication
only few patients develop HSE,facet of,hse
onsager,field of work,thermodynamics
onset of activity,facet of,clock
ontogenetic organization of the brain,part of,neurodevelopment
ontogenetic,studies,anatomy
ontogenetic,part of,evolutionary
ontogeny,part of,evolution
ontology,has part,vocabulary
oocyte cryopreservation,subclass of,oncofertility
oocyte,subclass of,cell
oocyte,has part,cumulus cells
oocyte,followed by,embryo
oocyte,has effect,fertilize
oocyte,has part,go
oocyte,has part,granulosa cells
oocyte,has part,meiosis
oocyte,part of,ovary
oocyte,has part,parthenote
oocyte,has effect,retrieve
oogenesis,has effect,conception
opc,part of,ME region
opc,subclass of,remyelinating capacity
open angle glaucoma,subclass of,glaucoma
open bite,subclass of,tooth ankylosis
open data,subclass of,archive
open field experiment,participant,rat
open field test,facet of,zebrafish
open reading frame,part of,genome
open reading frame,subclass of,lincrnas
open to closed conformational transition,part of,complex I
open tubular capillary electrochromatography,subclass of,electrochromatography
open,opposite of,close
openmm,developer,miaolab20
openmolca,use,atomistic computer simulation
openmolca,instance of,software
openness to experience,part of,Big Five
operable test range,use,experimental verification
operon,part of,operon
ophthalmic branch,part of,corneal nerve
ophthalmologic,subclass of,symptom
ophthalmological symptoms,has cause,tear
ophthalmologist,subclass of,pathology
ophthalmology,studies,eye
ophthalmology,instance of,medicine
opio,subclass of,analgesic
opio,subject has role,antimicrobial
opio,medical condition treated,pain
opioid receptor,subclass of,binding affinities
opn,instance of,lodging resistance index
opn3,part of,circadian clock
opn5,part of,circadian clock
opportunist,subclass of,firmicute
opportunistic bacteria,opposite of,invasive gut bacteria
opposite effects,opposite of,overexpress
opposite sex,subclass of,sexual behavior
oprk1,instance of,gene
oprk1,instance of,genotype
opscc,has cause,gastric carcinogenesis
opscc,part of,tissue
opsin,subclass of,G protein coupled receptor
optic nerve imaging,subclass of,blood draw
optic nerve,part of,brain
optic nerve,has effect,optic neuropathy
optic neuropathy,subclass of,ophthalmic manifestations
optic neuropathy,has cause,optic nerve
optical coherence tomography,subclass of,B scans
optical coherence tomography,part of,histology
optical signals,has part,photonic structures
optical spectroscopy,subclass of,detection
optimal enhancement,subclass of,solubility enhancement
optimise outcomes,subclass of,knowledge
optimization,subclass of,secondary development
optn,subclass of,autophagy
optocrispri,part of,optogenetics
optogenetic,studies,plant
optogenetics,studies,cell signaling
optogenetics,subclass of,manipulate subpopulations of cells
optogenetics,uses,photoreceptor
or,different from,95% CI
or,facet of,risk
or,facet of,significance
oral and oropharyngeal squamous cell carcinoma,has cause,human papillomavirus
oral carcinogenesis,drug used for treatment,col7
oral contraceptives,has part,progestin only pills
oral delivery,location,gastrointestinal (GI) tract
oral delivery,facet of,pharmaceutical
oral feeding,subclass of,parenterally
oral gavage,different from,intravenous
oral gavage,medical condition treated,periorbital hypersensitivity
oral gavage,subclass of,single dose administration
oral intake,part of,lung
oral microbiota,subclass of,bacterium
oral progestin,subclass of,hormonal treatments
oral squamous cell carcinoma,instance of,cell lines
oral squamous cell carcinoma,has cause,hpv
oral squamous cell carcinoma,has effect,oral leukoplakia
oral squamous cell carcinoma,instance of,tumour
oral viscous budesonide,medical condition treated,repaired esophageal atresia
oral,part of,microbiome
oral,subclass of,nanovaccine
orally challenged,drug used for treatment,ceftriaxone
orange blossom honeys,instance of,chemical marker
orbital layer,part of,extraocular muscles
orchid,instance of,taxa
order,has part,species
ordinal level clades,part of,lineage
ordinary differential equation,instance of,model
oregano,instance of,essential oil
oregano,instance of,flavonoid
oregano,different from,marjoram
oregano,has part,thymol
orf,has part,uorf
orf007,instance of,gene
orf007,instance of,protein
orf020,instance of,protein
orf080,instance of,gene
orf112,instance of,gene
orf112,instance of,protein
orf116,instance of,gene
orf20,instance of,gene
orf6,part of,coronavirus
orf7a/7b/8,instance of,gene
organ cultured,has parts of the class,(mini )organ
organ development,has part,morphogenesis
organ dysfunction,subclass of,microcirculation disorders
organ failure,instance of,disease
organ failure,subclass of,treatment
organ on a chip,subclass of,biofabrication
organ,has part,cell
organ,has part,circulatory
organ,has part,digestive system
organ,part of,embryo
organ,has part,endocrine
organ,part of,fish
organ,has part,liver
organ,has part,liver tissue
organ,has part,metabolic pathways
organ,part of,plant
organ,different from,species
organ,part of,system
organ,has part,tissue
organellar genome,subclass of,genic
organellar genome,has part,mitochondrial genome
organellar,part of,chlamydomona
organelle,part of,biological barriers
organelle,has part,biomolecule
organelle,has part,cell
organelle,has part,cell membrane
organelle,has part,membrane
organelle,part of,multisubcellular
organelle,part of,organism
organelle,part of,subcellular tissues
organic carbon,has part,carbon
organic carbon,part of,organic matter
organic carbon,has part,phosphorus
organic cation/carnitine transporter,subclass of,solute carrier
organic code,discoverer or inventor,Marcello Barbieri
organic code,instance of,hierarchy
organic electrode,part of,rechargeable batteries
organic farming,opposite of,conventional
organic farming,opposite of,conventional farming
organic manure,subclass of,manure
organic matter,studied by,biological
organic matter,part of,biota
organic matter,has part,carbon
organic matter,has part,cr
organic matter,part of,ecosystem
organic matter,part of,soil
organic substances,subclass of,toxic gases
organic waste,part of,environment
organic,has part,c
organic,opposite of,inorganic
organic,subclass of,pollutant
organic,subclass of,poultry
organism,has part,agent
organism,studied by,biological
